Title,Price
Suzuki FX  1987 GA for Sale,PKR 3 lacs
Suzuki Khyber  1992 GA for Sale,PKR 2.9 lacs
Suzuki Mehran  2005 VX for Sale,PKR 3.3 lacs
Suzuki Khyber  1996  for Sale,PKR 3.7 lacs
Suzuki Mehran  1990 VXR (CNG) for Sale,PKR 3.9 lacs
Suzuki FX  1987 GA for Sale,PKR 3.2 lacs
Daihatsu Charade  1984  for Sale,PKR 2.05 lacs
Suzuki Khyber  1995 GA for Sale,PKR 2.65 lacs
Hyundai Excel  1993 Basegrade for Sale,PKR 2.8 lacs
Suzuki Cultus  2022 VXR for Sale,PKR 3.4 lacs
Suzuki Khyber  1996 GA for Sale,PKR 3.5 lacs
Daihatsu Charade  1984 CX for Sale,PKR 3.1 lacs
Suzuki Mehran  1996 VX for Sale,PKR 3.95 lacs
Daihatsu Charade  1988 CX for Sale,PKR 2.75 lacs
Suzuki Alto  2005 VXR for Sale,PKR 3.95 lacs
Toyota Corolla  2009 GLi 1.3 VVTi for Sale,PKR 2.35 lacs
Suzuki Mehran  1990 VX for Sale,PKR 3.9 lacs
Daihatsu Charade  1987  for Sale,PKR 3.2 lacs
Datsun 120 Y  1980 Y 1.2 for Sale,PKR 3.9 lacs
Honda Civic  1984  for Sale,PKR 3.8 lacs
KIA Pride  1996  for Sale,PKR 3 lacs
KIA Classic  2002 LX for Sale,PKR 4 lacs
Nissan Sunny  1983  for Sale,PKR 2.9 lacs
Suzuki Mehran  2006 VX for Sale,PKR 4 lacs
Nissan Sunny  1985  for Sale,PKR 3.7 lacs
Suzuki Bolan  1986  for Sale,PKR 2.8 lacs
Suzuki Bolan  1987  for Sale,PKR 2.5 lacs
Suzuki Khyber  1991  for Sale,PKR 3 lacs
Adam Revo  2006  for Sale,PKR 3.9 lacs
Daewoo Racer  1993 Base Grade 1.5 for Sale,PKR 3.9 lacs
Suzuki Khyber  1997 GA for Sale,PKR 3.8 lacs
Suzuki Mehran  1989 VX for Sale,PKR 3 lacs
Suzuki Mehran  1992 VX for Sale,PKR 2.5 lacs
Suzuki FX  1986  for Sale,PKR 3.5 lacs
Honda Accord  1984  for Sale,PKR 3.8 lacs
Suzuki Mehran  1993 VXR (CNG) for Sale,PKR 4 lacs
Suzuki FX  1985 GA for Sale,PKR 2.5 lacs
Suzuki Mehran  1999 VX for Sale,PKR 3.35 lacs
Suzuki FX  1987  for Sale,PKR 2 lacs
Changan Gilgit  2004  for Sale,PKR 3.8 lacs
Suzuki Khyber  1998 GA for Sale,PKR 3.3 lacs
Hyundai Excel  1993  for Sale,PKR 3 lacs
Suzuki Margalla  1993 GL for Sale,PKR 3.8 lacs
Suzuki FX  1986 GA for Sale,PKR 2 lacs
Suzuki Mehran  1999 VX (CNG) for Sale,PKR 2.45 lacs
Daihatsu Charade  1998  for Sale,PKR 3 lacs
Suzuki Mehran  1989 VX for Sale,PKR 3 lacs
Daihatsu Charade  1985 CL for Sale,PKR 4 lacs
Suzuki Mehran  1991 VX for Sale,PKR 3 lacs
